"","PSAvC","PSAvPSO"
"A_23_P10701",0,0
"A_23_P107036",0,0
"A_23_P107048",0,0
"A_23_P107051",0,0
"A_23_P107064",0,0
"A_23_P107073",0,0
"A_23_P107087",0,0
"A_23_P107102",0,0
"A_23_P107116",0,0
"A_23_P107132",0,0
"A_23_P107154",0,0
"A_23_P107166",0,0
"A_23_P107173",0,0
"A_23_P1072",0,0
"A_23_P107206",0,0
"A_23_P10721",0,0
"A_23_P107211",0,0
"A_23_P107214",0,0
"A_23_P107238",0,0
"A_23_P107247",0,0
"A_23_P107257",0,0
"A_23_P107283",0,0
"A_23_P107295",0,0
"A_23_P107307",0,0
"A_23_P107313",0,0
"A_23_P107322",0,0
"A_23_P107336",0,0
"A_23_P107350",0,0
"A_23_P107351",0,0
"A_23_P107369",0,0
"A_23_P107373",0,0
"A_23_P107394",0,0
"A_23_P107401",0,0
"A_23_P107412",0,0
"A_23_P107421",0,0
"A_23_P10743",0,0
"A_23_P107432",0,0
"A_23_P107443",0,0
"A_23_P107454",0,0
"A_23_P107465",0,0
"A_23_P107483",0,0
"A_23_P107507",0,0
"A_23_P107513",0,0
"A_23_P10753",0,0
"A_23_P107531",0,0
"A_23_P107552",0,0
"A_23_P107565",0,0
"A_23_P107578",0,0
"A_23_P107587",0,0
"A_23_P107597",0,0
"A_23_P107612",0,0
"A_23_P107623",0,0
"A_23_P107644",0,0
"A_23_P107653",0,0
"A_23_P107661",0,0
"A_23_P107673",0,0
"A_23_P107684",0,0
"A_23_P107693",0,0
"A_23_P107701",0,0
"A_23_P107714",0,0
"A_23_P107724",0,0
"A_23_P107735",0,0
"A_23_P107744",0,0
"A_23_P107750",0,0
"A_23_P107763",0,0
"A_23_P107775",0,0
"A_23_P107795",0,0
"A_23_P107801",0,0
"A_23_P107847",0,0
"A_23_P10785",0,0
"A_23_P107855",0,0
"A_23_P107881",0,0
"A_23_P107894",0,0
"A_23_P107903",0,0
"A_23_P107911",0,0
"A_23_P107933",0,0
"A_23_P107942",0,0
"A_23_P107959",0,0
"A_23_P107963",0,0
"A_23_P107974",0,0
"A_23_P10798",0,0
"A_23_P107981",0,0
"A_23_P107994",0,0
"A_23_P108028",0,0
"A_23_P108042",0,0
"A_23_P108054",0,0
"A_23_P108062",0,0
"A_23_P108075",0,0
"A_23_P108082",0,0
"A_23_P108103",0,0
"A_23_P108129",0,0
"A_23_P108135",0,0
"A_23_P108143",0,0
"A_23_P10815",0,0
"A_23_P108157",0,0
"A_23_P108170",0,0
"A_23_P108180",0,0
"A_23_P108200",0,0
"A_23_P108216",0,0
"A_23_P108221",0,0
"A_23_P108244",0,0
"A_23_P108265",0,0
"A_23_P108280",0,0
"A_23_P108294",0,0
"A_23_P1083",0,0
"A_23_P108303",0,0
"A_23_P108314",0,0
"A_23_P108326",0,0
"A_23_P108331",0,0
"A_23_P108342",0,0
"A_23_P108376",0,0
"A_23_P10839",0,0
"A_23_P108394",0,0
"A_23_P108404",0,0
"A_23_P108415",0,0
"A_23_P108427",0,0
"A_23_P108437",0,0
"A_23_P108463",0,0
"A_23_P108492",0,0
"A_23_P108501",0,0
"A_23_P108514",0,0
"A_23_P108522",0,0
"A_23_P108534",0,0
"A_23_P108546",0,0
"A_23_P108554",0,0
"A_23_P108564",0,0
"A_23_P108574",0,0
"A_23_P10858",0,0
"A_23_P108592",0,0
"A_23_P108604",0,0
"A_23_P108641",0,0
"A_23_P108657",0,0
"A_23_P108662",0,0
"A_23_P108673",0,0
"A_23_P108699",0,0
"A_23_P10870",0,0
"A_23_P108708",0,0
"A_23_P10873",0,0
"A_23_P108734",0,0
"A_23_P108743",0,0
"A_23_P108751",0,0
"A_23_P108761",0,0
"A_23_P108785",0,0
"A_23_P108819",0,0
"A_23_P108823",0,0
"A_23_P108835",0,0
"A_23_P108842",0,0
"A_23_P10885",0,0
"A_23_P108871",0,0
"A_23_P108883",0,0
"A_23_P108911",0,0
"A_23_P108922",0,0
"A_23_P108932",0,0
"A_23_P108948",0,0
"A_23_P108970",0,0
"A_23_P108990",0,0
"A_23_P108994",0,0
"A_23_P109001",0,0
"A_23_P109017",0,0
"A_23_P10902",0,0
"A_23_P109026",0,0
"A_23_P109034",0,0
"A_23_P109055",0,0
"A_23_P109072",0,0
"A_23_P10911",0,0
"A_23_P109122",0,0
"A_23_P109133",0,0
"A_23_P109143",0,0
"A_23_P109171",0,0
"A_23_P109184",0,0
"A_23_P109193",0,0
"A_23_P109201",0,0
"A_23_P109224",0,0
"A_23_P109229",0,0
"A_23_P109235",0,0
"A_23_P109254",0,0
"A_23_P109269",0,0
"A_23_P10927",0,0
"A_23_P109286",0,0
"A_23_P109304",0,0
"A_23_P109320",0,0
"A_23_P109322",0,0
"A_23_P109333",0,0
"A_23_P109345",0,0
"A_23_P10936",0,0
"A_23_P109382",0,0
"A_23_P109393",0,0
"A_23_P109410",0,0
"A_23_P109420",0,0
"A_23_P109427",0,0
"A_23_P109436",0,0
"A_23_P109442",0,0
"A_23_P109446",0,0
"A_23_P109452",0,0
"A_23_P10947",0,0
"A_23_P109470",0,0
"A_23_P109488",0,0
"A_23_P109508",0,0
"A_23_P109547",0,0
"A_23_P10956",0,0
"A_23_P109593",0,0
"A_23_P109606",0,0
"A_23_P109614",0,0
"A_23_P109636",0,0
"A_23_P109643",0,0
"A_23_P109655",0,0
"A_23_P10966",0,0
"A_23_P109677",0,0
"A_23_P109682",0,0
"A_23_P109720",0,0
"A_23_P109733",0,0
"A_23_P109768",0,0
"A_23_P109774",0,0
"A_23_P109785",0,0
"A_23_P109794",0,0
"A_23_P10980",0,0
"A_23_P109812",0,0
"A_23_P109821",0,0
"A_23_P109843",0,0
"A_23_P109864",0,0
"A_23_P10987",0,0
"A_23_P109877",0,0
"A_23_P109881",0,0
"A_23_P109895",0,0
"A_23_P109907",0,0
"A_23_P109913",0,0
"A_23_P109928",0,0
"A_23_P109934",0,0
"A_23_P10995",0,0
"A_23_P109950",0,0
"A_23_P109964",0,0
"A_23_P109974",0,0
"A_23_P109988",0,0
"A_23_P110005",0,0
"A_23_P110022",0,0
"A_23_P110031",0,0
"A_23_P11005",0,0
"A_23_P110052",0,0
"A_23_P110062",0,0
"A_23_P110076",0,0
"A_23_P110090",0,0
"A_23_P110108",0,0
"A_23_P110116",0,0
"A_23_P110122",0,0
"A_23_P110135",0,0
"A_23_P110151",0,0
"A_23_P110167",0,0
"A_23_P11017",0,0
"A_23_P110175",0,0
"A_23_P110184",0,0
"A_23_P110196",0,0
"A_23_P1102",0,0
"A_23_P110204",0,0
"A_23_P110212",0,0
"A_23_P110234",0,0
"A_23_P110243",0,0
"A_23_P11025",0,0
"A_23_P110253",0,0
"A_23_P110266",0,0
"A_23_P110276",0,0
"A_23_P110288",0,0
"A_23_P110299",0,0
"A_23_P110304",0,0
"A_23_P110319",0,0
"A_23_P11032",0,0
"A_23_P110345",0,0
"A_23_P110362",0,0
"A_23_P110386",0,0
"A_23_P110403",0,0
"A_23_P110412",0,0
"A_23_P110430",0,0
"A_23_P110433",0,0
"A_23_P110445",0,0
"A_23_P110462",0,0
"A_23_P110473",0,0
"A_23_P110492",0,0
"A_23_P110504",0,0
"A_23_P11051",0,0
"A_23_P110531",0,0
"A_23_P110557",0,0
"A_23_P110569",0,0
"A_23_P110571",0,0
"A_23_P110585",0,0
"A_23_P110598",0,0
"A_23_P110606",0,0
"A_23_P110611",0,0
"A_23_P110624",0,0
"A_23_P110643",1,0
"A_23_P110655",0,0
"A_23_P110661",0,0
"A_23_P110686",0,0
"A_23_P110699",0,0
"A_23_P11070",0,0
"A_23_P110704",1,0
"A_23_P11071",0,0
"A_23_P110712",0,0
"A_23_P110725",0,0
"A_23_P110764",0,0
"A_23_P110777",0,0
"A_23_P110787",0,0
"A_23_P110791",0,0
"A_23_P110802",0,0
"A_23_P11081",0,0
"A_23_P110811",1,0
"A_23_P110837",0,0
"A_23_P110846",0,0
"A_23_P110851",0,0
"A_23_P110879",0,0
"A_23_P110882",0,0
"A_23_P110896",0,0
"A_23_P110903",0,0
"A_23_P110941",0,0
"A_23_P110957",0,0
"A_23_P110961",0,0
"A_23_P111000",0,0
"A_23_P111005",0,0
"A_23_P111020",0,0
"A_23_P11103",0,0
"A_23_P111037",0,0
"A_23_P111041",0,0
"A_23_P111054",0,0
"A_23_P111088",0,0
"A_23_P111092",0,0
"A_23_P111112",0,0
"A_23_P111126",0,0
"A_23_P111132",0,0
"A_23_P111141",0,0
"A_23_P111155",0,0
"A_23_P111171",0,0
"A_23_P111188",0,0
"A_23_P11119",0,0
"A_23_P111194",0,0
"A_23_P111206",0,0
"A_23_P111228",0,0
"A_23_P111240",0,0
"A_23_P111260",0,0
"A_23_P111267",0,0
"A_23_P111273",0,0
"A_23_P111288",0,0
"A_23_P111297",0,0
"A_23_P111303",0,0
"A_23_P111306",0,0
"A_23_P111311",0,0
"A_23_P111321",0,0
"A_23_P111343",0,0
"A_23_P111360",0,0
"A_23_P111361",0,0
"A_23_P111373",0,0
"A_23_P111381",0,0
"A_23_P111395",0,0
"A_23_P111402",0,0
"A_23_P111413",0,0
"A_23_P11144",0,0
"A_23_P111452",0,0
"A_23_P111480",0,0
"A_23_P111481",0,0
"A_23_P111487",0,0
"A_23_P111492",0,0
"A_23_P111506",0,0
"A_23_P111517",0,0
"A_23_P111525",0,0
"A_23_P111531",0,0
"A_23_P111571",0,0
"A_23_P111583",0,0
"A_23_P111593",0,0
"A_23_P11160",0,0
"A_23_P111604",0,0
"A_23_P111621",0,0
"A_23_P111635",0,0
"A_23_P111657",0,0
"A_23_P111662",0,0
"A_23_P111672",0,0
"A_23_P111698",0,0
"A_23_P1117",0,0
"A_23_P111701",0,0
"A_23_P111712",0,0
"A_23_P111724",0,0
"A_23_P111737",0,0
"A_23_P111745",0,0
"A_23_P111753",1,0
"A_23_P111766",0,0
"A_23_P111797",0,0
"A_23_P111804",0,0
"A_23_P111811",0,0
"A_23_P111826",0,0
"A_23_P111835",0,0
"A_23_P111843",0,0
"A_23_P111860",0,0
"A_23_P111865",0,0
"A_23_P111888",0,0
"A_23_P111919",0,0
"A_23_P11192",0,0
"A_23_P111929",0,0
"A_23_P111947",0,0
"A_23_P111961",0,0
"A_23_P111978",0,0
"A_23_P111981",0,0
"A_23_P111995",0,0
"A_23_P112004",0,0
"A_23_P11201",0,0
"A_23_P112016",0,0
"A_23_P112026",0,0
"A_23_P112061",0,0
"A_23_P112078",0,0
"A_23_P112086",0,0
"A_23_P112100",0,0
"A_23_P112103",0,0
"A_23_P112113",0,0
"A_23_P112135",0,0
"A_23_P11214",0,0
"A_23_P112159",0,0
"A_23_P112162",0,0
"A_23_P112173",0,0
"A_23_P112187",0,0
"A_23_P112201",0,0
"A_23_P112220",0,0
"A_23_P11224",0,0
"A_23_P112241",0,0
"A_23_P112251",0,0
"A_23_P112260",0,0
"A_23_P112275",0,0
"A_23_P112289",0,0
"A_23_P112296",0,0
"A_23_P112311",0,0
"A_23_P112327",0,0
"A_23_P112341",0,0
"A_23_P11237",0,0
"A_23_P112397",0,0
"A_23_P112406",0,0
"A_23_P112412",0,0
"A_23_P112429",0,0
"A_23_P11244",0,0
"A_23_P112452",0,0
"A_23_P112470",0,0
"A_23_P112478",0,0
"A_23_P112481",0,0
"A_23_P112482",0,0
"A_23_P112512",0,0
"A_23_P112531",0,0
"A_23_P112548",0,0
"A_23_P112554",0,0
"A_23_P11256",0,0
"A_23_P112564",0,0
"A_23_P112596",0,0
"A_23_P1126",0,0
"A_23_P112602",0,0
"A_23_P112613",0,0
"A_23_P11262",0,0
"A_23_P112634",0,0
"A_23_P112646",0,0
"A_23_P112652",0,0
"A_23_P112666",0,0
"A_23_P112673",0,0
"A_23_P112698",0,0
"A_23_P112726",0,0
"A_23_P112774",0,0
"A_23_P11279",1,1
"A_23_P112798",0,0
"A_23_P112801",0,0
"A_23_P112820",0,0
"A_23_P112825",0,0
"A_23_P112846",0,0
"A_23_P112859",0,0
"A_23_P11286",0,0
"A_23_P112874",0,0
"A_23_P112883",0,0
"A_23_P112916",0,0
"A_23_P112921",0,0
"A_23_P11295",0,0
"A_23_P112950",0,0
"A_23_P112957",0,0
"A_23_P112982",0,0
"A_23_P113005",0,0
"A_23_P113019",0,0
"A_23_P113026",0,0
"A_23_P113034",0,0
"A_23_P113056",1,1
"A_23_P11309",0,0
"A_23_P113101",0,0
"A_23_P113111",0,0
"A_23_P113161",0,0
"A_23_P113184",0,0
"A_23_P113204",0,0
"A_23_P113212",0,0
"A_23_P113237",0,0
"A_23_P113245",0,0
"A_23_P113258",0,0
"A_23_P113263",0,0
"A_23_P113283",0,0
"A_23_P11331",0,0
"A_23_P113311",0,0
"A_23_P113317",0,0
"A_23_P113328",0,0
"A_23_P113351",0,0
